use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W365P5.0,365,5.0,Lasso,2015/07/31,2014/08/01,15177,15177,3795,3795,0.0995018002577126,0.0055358996614813805,960.4413621279687,0.8673899048441841
W365P5.0,365,5.0,Random Forest Regressor,2015/07/31,2014/08/01,15177,15177,3795,3795,3.2554216999560595,0.013322900049388409,814.5559683794468,0.905252785714354
W365P5.0,365,5.0,Stacking Regressor,2015/07/31,2014/08/01,15177,15177,3795,3795,3.111329199746251,0.00966660026460886,644.5830888663409,0.940262196749548
W365P1.0,365,1.0,Linear Regression,2015/07/31,2014/08/01,3035,3035,759,759,0.02384919999167323,0.003569900058209896,987.0576813301795,0.8478185547465898
W365P1.0,365,1.0,Decision Tree Regressor,2015/07/31,2014/08/01,3035,3035,759,759,0.08682559989392757,0.004242800176143646,1211.394802609463,0.7699595452751583
W365P1.0,365,1.0,Lasso,2015/07/31,2014/08/01,3035,3035,759,759,0.038212299812585115,0.005529600195586681,987.5304647465782,0.8478222504993151
W365P1.0,365,1.0,Random Forest Regressor,2015/07/31,2014/08/01,3035,3035,759,759,0.5492802001535892,0.005246399901807308,967.8587615283268,0.8560360305782184
W365P1.0,365,1.0,Stacking Regressor,2015/07/31,2014/08/01,3035,3035,759,759,0.6679970999248326,0.0063599999994039536,771.993140486471,0.9051185559512737
W730P100.0,730,100.0,Linear Regression,2015/07/31,2013/08/01,624664,624664,156166,156166,5.271643400192261,0.11570330010727048,961.18568656238,0.8670063594997082
W730P100.0,730,100.0,Decision Tree Regressor,2015/07/31,2013/08/01,624664,624664,156166,156166,32.522687499877065,0.12666750000789762,694.2751906170924,0.9264954736652286
W730P100.0,730,100.0,Lasso,2015/07/31,2013/08/01,624664,624664,156166,156166,7.268674300052226,0.11991619970649481,961.3403266056666,0.8670045999772887
W730P100.0,730,100.0,Random Forest Regressor,2015/07/31,2013/08/01,624664,624664,156166,156166,240.62989310035482,0.9197493996471167,471.6382551259556,0.9629900105295949
